"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"816","613 Stonewall St","0.31","$317,900.00 ","Dwelling","$315,000.00 ","28 2 35",3,326000,349200,372100,333200,445800,1874,3,2
"817","614 N Main St","0.12","$68,200.00 ","Dwelling","$88,000.00 ","18 1 8",1,130100,88500,102200,102200,120900,725,2,1
"818","614 Ross Rd","0.23","$205,600.00 ","Dwelling","$160,000.00 ","27 2 7",3,230900,172800,193300,269700,307700,1928,3,2
"820","616 Ross Rd","0.23","$208,600.00 ","Dwelling","$192,801.00 ","27 2 8",3,225100,232600,224300,208600,292100,1872,4,2
"821","617 Marshall St","0.24","$236,100.00 ","Dwelling","$207,500.00 ","27 2 14",3,259100,265200,211300,228700,344100,2153,3,3
"822","618 Marshall St","0.28","$522,700.00 ","Dwelling","$759,000.00 ","27 2 31",3,511200,559500,795400,633800,864300,4381,4,4.5
"824","619 Stonewall St","0.32","$392,900.00 ","Dwelling","$500,000.00 ","28 2 32",3,378500,442300,412200,409600,592300,2352,4,2.5
"825","620 Marshall St","0.471","$814,400.00 ","Dwelling","$765,000.00 ","27 3 3B",3,838100,742900,860000,645600,844100,3466,5,6
"826","622 Stonewall St","N/A","$324,900.00 ","Dwelling","$259,000.00 ","28 2 42",3,333500,289500,349600,380100,445000,2245,5,4
"827","625 Marshall St","2.96","$580,100.00 ","Dwelling","$785,000.00 ","27 5 1",3,193700,212100,258400,900500,665700,2550,4,4
"828","625 S Main St","0.17","$204,400.00 ","Dwelling","$185,000.00 ","28 12 3",3,235000,201800,217600,257700,291300,2359,5,3
"830","7 Barger Dr","N/A","$377,100.00 ","Dwelling","$396,000.00 ","28 4 6",3,296800,409200,408100,455100,539600,3950,4,3.5
"831","7 Chamberlain Loop","0.1","$285,100.00 ","Dwelling","$315,000.00 ","39 1 1 29",3,167500,156300,308800,333600,350700,1725,3,2
"832","7 Courtland Ctr","N/A","$534,500.00 ","Dwelling","$529,000.00 ","33 3 14",3,444100,403800,489800,529800,688400,3340,4,3.5
"833","7 Edmondson Ave","0.3","$282,600.00 ","Dwelling","$250,000.00 ","28 21 24",4,236900,248600,251800,272100,383100,1755,3,2
"834","7 Houston St","0.37","$365,500.00 ","Dwelling","$447,950.00 ","29 1 8",4,468200,398400,429700,456000,537700,3799,5,3
"836","700 Plunkett St","0.21","$293,900.00 ","Dwelling","$305,000.00 ","28 5 60",3,313600,334500,282700,312400,422200,2300,4,3
"841","707 Thornhill Rd","0.86","$183,700.00 ","Dwelling","$175,100.00 ","34 6 9B",3,222500,222200,258200,180500,266800,1998,4,2
"843","708 N Main St","0.22","$135,000.00 ","Dwelling","$135,000.00 ","18 1 6",1,138100,137700,166100,157200,178500,1200,1,2
"844","709 Stono Ln","0.32","$187,600.00 ","Dwelling","$258,000.00 ","11 2 2004",1,149800,266700,172300,214100,288300,1400,3,2
"845","709 Thornhill Rd","0.212","$196,500.00 ","Dwelling","$167,000.00 ","34 5 7",3,222900,163600,179500,254400,292600,1668,3,2
"848","713 Thornhill Rd","0.31","$118,200.00 ","Dwelling","$180,000.00 ","34 1 8",3,147100,156500,383800,163000,198400,1030,2,1
"855","8 Edmondson Ave","0.29","$392,500.00 ","Dwelling","$390,000.00 ","28 20 3",3,449200,430900,415400,530800,559200,3965,5,3
"856","8 Houston St","0.34","$210,800.00 ","Dwelling","$333,000.00 ","29 1 23",5,249600,159100,171600,358700,411100,2042,3,3
"858","8 Junkin Pl","0.81","$378,500.00 ","Dwelling","$320,000.00 ","33 4 35A",3,344700,360700,335000,384700,502300,3125,3,3
"860","8 Sellers Ave","0.19","$176,000.00 ","Dwelling","$165,000.00 ","28 10 8",3,224600,231300,239100,177000,284800,1607,4,2
"862","8 Westside Ct","0.18","$272,700.00 ","Dwelling","$282,500.00 ","28 21 7",4,225200,259900,283200,290300,383900,1800,4,2
"864","802 Bowyer Ln","0.92","$448,000.00 ","Dwelling","$315,000.00 ","33 2 57",3,464400,466000,420400,335500,372400,4000,5,4
"865","803 Bowyer Ln","0.523","$222,600.00 ","Dwelling","$255,000.00 ","33 2 58",3,302300,320200,286000,251100,360000,1368,3,2
"866","803 Mcmath Cir","0.59","$415,800.00 ","Dwelling","$375,000.00 ","33 3 18",3,360600,371500,398500,386500,438100,3239,4,3.5
"868","805 Mcmath Cir","N/A","$452,100.00 ","Dwelling","$225,000.00 ","33 3 17",3,390700,382800,389200,404100,567000,3034,4,3
"869","809 Mccorkle Dr","0.34","$160,700.00 ","Dwelling","$155,000.00 ","19 2 3",2,204100,194600,203300,177400,251800,1778,3,2
