"","Address","Acres","Value","Building.Type","Sales.Price","Map..","Region","X2014","X2016","X2018","X2020","X2022","sqft","bed","bath"
"217","13 Country Club Rd","0.45","$177,100.00 ","Dwelling","$134,500.00 ","39 2 11",3,190900,180700,194000,148500,268300,1250,3,2
"218","13 Link Rd","0.48","$252,800.00 ","Dwelling","$210,000.00 ","34 14 1 5",3,255900,280700,283000,216900,344600,3596,4,3
"219","132 Welsh Park","0.45","$142,100.00 ","Dwelling","$145,500.00 ","34 2 12",3,192100,170100,213600,147200,275200,1506,3,2
"220","133 Colonnade Ave","0.244","$199,800.00 ","Dwelling","$215,000.00 ","15 1 1 66",6,223400,215000,232000,256000,299000,1500,3,2
"221","136 Houston St","0.16","$180,900.00 ","Dwelling","$179,000.00 ","29 12 A1",5,172900,173300,210300,179700,266800,1868,3,1
"222","137 Colonnade Ave","0.365","$248,900.00 ","Dwelling","$232,500.00 ","15 1 1 67",6,230900,242700,261800,269400,343300,1518,3,3
"223","14 Maple Ln","0.39","$249,500.00 ","Dwelling","$317,000.00 ","28 14 8",3,236600,342800,307300,325900,0,1962,3,2.5
"224","14 Sixty West Dr","0.13","$347,100.00 ","Dwelling","$315,000.00 ","8 1 1 14",6,364900,383900,414000,394800,448700,2514,3,3
"225","141 Colonnade Ave","0.357","$233,800.00 ","Dwelling","$229,000.00 ","15 1 1 68",6,227100,240700,240000,257600,327800,1700,3,2
"226","142 Colonnade Ave","0.345","$244,900.00 ","Dwelling","$232,000.00 ","15 1 1 70",6,225000,232700,244300,262900,331500,1462,3,2
"229","15 Westside Ct","0.115","$248,400.00 ","Dwelling","$225,000.00 ","28 21 17A",4,203800,252300,300700,233200,330200,1734,3,1.5
"231","16 Diamond St","0.06","$163,700.00 ","Dwelling","$200,000.00 ","17 1 91",2,127100,122500,202100,218400,270700,1532,2,2
"232","16 Fuller St","0.18","$78,600.00 ","Dwelling","$115,000.00 ","24 1 35",2,59600,86700,82800,115500,134300,601,2,1
"233","16 Maple Ln","0.38","$219,700.00 ","Dwelling","$230,000.00 ","29 17 9",3,229300,219100,239600,241500,313200,2371,3,2
"235","17 Edmondson Ave","0.3","$270,700.00 ","Dwelling","$242,000.00 ","28 21 19",4,302600,273400,259700,306300,379900,1980,4,2
"236","17 Poyntz Pl","N/A","$224,300.00 ","Dwelling","$219,000.00 ","25 8 13",2,223400,234000,207500,223100,305200,1446,3,2
"237","17 Whitmore St","N/A","$182,700.00 ","Dwelling","$189,750.00 ","28 5 33",3,193200,217300,223100,189100,294000,1395,3,2
"238","18 Chamberlain Loop","0.104","$285,800.00 ","Dwelling","$290,000.00 ","39 1 1 41",3,166400,157600,169600,298700,373600,1707,3,2
"239","18 Diamond St","0.07","$107,300.00 ","Dwelling","$137,400.00 ","17 1 93",2,139500,95200,118800,121400,151300,865,2,1
"240","18 Houston St","0.38","$175,000.00 ","Dwelling","$201,900.00 ","29 1 28",5,192700,196900,229500,206400,309300,1478,3,2
"242","18 Maple Ln","0.38","$150,700.00 ","Dwelling","$120,000.00 ","29 17 10",3,186700,122900,128800,161000,215900,1238,2,1
"244","19 Maple Ln","0.31","$247,300.00 ","Dwelling","$258,000.00 ","29 17 19",3,164500,262900,160600,156900,338700,1651,3,3
"246","19 Whitmore St","0.21","$175,300.00 ","Dwelling","$149,000.00 ","28 5 35",3,197000,216300,213200,158000,242000,1400,2,1
"247","2 Barger Dr","N/A","$243,000.00 ","Dwelling","$345,000.00 ","28 4 4",3,237100,273700,264800,289400,377600,2213,4,2
"251","2 Maple Ln","0.19","$259,100.00 ","Dwelling","$256,000.00 ","28 1 13",3,247600,263500,288700,290100,377500,2184,4,2
"256","20 Chamberlain Loop","0.1","$285,500.00 ","Dwelling","$293,000.00 ","39 1 1 42",3,167500,157700,170900,303300,375800,1707,3,2
"258","20 Link Rd","0.36","$203,100.00 ","Dwelling","$200,500.00 ","34 14 2 1",3,237600,216400,223500,241400,294700,2144,3,2
"259","20 Maple Ln","0.38","$213,300.00 ","Dwelling","$218,765.00 ","29 17 11",3,236700,248500,244700,264100,313800,2256,3,2
"260","20 Sixty West Dr","0.15","$333,100.00 ","Dwelling","$332,000.00 ","8 1 1 20",6,239200,342000,337200,364200,445400,2153,3,4
"261","200 Houston St","0.17","$122,100.00 ","Dwelling","$108,000.00 ","29 15 B 1",5,166500,175000,190500,134400,269500,2187,3,3
"262","200 Miller St","0.14","$73,700.00 ","Dwelling","$70,000.00 ","30 2 C 15",5,101700,78600,110900,94500,122000,768,2,1
"264","201 Center St","0.15","$59,100.00 ","Dwelling","$75,000.00 ","30 2 B 11A",5,72400,70800,48200,59400,117000,700,1,1
"265","201 Miller St","0.24","$55,800.00 ","Dwelling","$38,000.00 ","30 2 E 17B",5,55900,72500,78000,50500,95900,616,1,1
"266","201 Myers St","0.15","$269,800.00 ","Dwelling","$295,000.00 ","23 1 A2",6,303200,331800,346900,318600,393900,2514,4,3
"268","201 S Jefferson St","N/A","$379,400.00 ","Dwelling","$450,000.00 ","23 6 1",6,379900,390300,406200,464000,492200,2317,3,3
"269","201 Thompson's Knoll","0.1","$151,100.00 ","Dwelling","$189,900.00 ","18 14 20",2,230100,174200,236600,238100,416200,1210,3,3
"270","201 White St","0.29","$512,400.00 ","Dwelling","$493,000.00 ","22 1 54",6,490400,488600,472500,516300,701500,3600,4,3
"271","202 Miller St","0.27","$107,800.00 ","Dwelling","$130,000.00 ","30 2 C 13A",5,111900,129900,120700,120900,157100,1257,3,1
"272","202 N Randolph St","0.17","$101,700.00 ","Dwelling","$65,000.00 ","17 1 50",2,120000,112700,112000,134400,175100,1304,3,1
"274","203 Fuller St","0.11","$68,900.00 ","Dwelling","$70,500.00 ","24 1 113",2,66200,72500,71600,77300,115400,504,2,1
"275","203 Jackson Ave","0.34","$664,500.00 ","Dwelling","$618,500.00 ","23 1 8",6,985000,753200,778500,744500,953200,4348,6,5
"276","203 Johnstone St","0.78","$444,800.00 ","Dwelling","$300,000.00 ","28 3 3",3,442900,447000,215100,304600,559900,3449,4,3
"277","203 Maury St","0.09","$114,800.00 ","Dwelling","$115,000.00 ","17 5 2 1",2,120000,90900,122500,138300,175400,1126,4,2
"279","203 Ross Rd","2.59","$511,400.00 ","Dwelling","$827,500.00 ","22 1 7",4,204400,203600,184600,190700,620600,3339,4,2
"281","204 S Jefferson St","0.07","$137,300.00 ","Dwelling","$128,500.00 ","23 1 121",6,150500,131400,141700,160700,204700,792,2,1
"282","205 Alum Springs Rd","0.64","$108,300.00 ","Dwelling","$143,650.00 ","14 2 8",6,127000,145500,142500,151900,189000,1008,2,1
"283","205 Johnstone St","0.87","$459,900.00 ","Dwelling","$419,950.00 ","28 3 2",3,491600,468700,491300,433600,629800,3278,4,4.5
"284","205 Maury St","0.16","$91,400.00 ","Dwelling","$71,500.00 ","17 5 2 2",2,102200,124400,118000,124400,174800,1428,3,2
"285","205 Paxton St","0.82","$489,100.00 ","Dwelling","$428,000.00 ","27 4 10",3,495900,502500,545100,459200,657600,3649,4,3
"286","205 Senseney Ln","0.17","$107,900.00 ","Dwelling","$79,000.00 ","17 6 1 3",2,109200,80000,121400,80400,178500,1156,2,1.5
"287","206 S Randolph St","0.304","$351,300.00 ","Dwelling","$132,500.00 ","23 7 13A",5,230000,162400,175200,423200,412300,2375,4,2
"288","207 Catalpa Pl","0.369","$196,700.00 ","Dwelling","$249,000.00 ","15 1 34B",6,229000,221800,240200,243200,324300,1960,4,3
"289","207 Diamond St","0.18","$109,100.00 ","Dwelling","$110,000.00 ","17 6 1 20",2,124500,128700,122100,126900,195800,2220,6,2
"291","207 N Randolph St","0.24","$142,100.00 ","Dwelling","$190,000.00 ","17 1 138",2,124800,122100,128500,118700,242200,2314,4,1.5
"296","208 N Randolph St","0.12","$84,100.00 ","Dwelling","$66,000.00 ","17 1 83",2,99300,119800,117800,853000,146200,1456,3,1
"299","209 Alum Springs Rd","0.31","$104,300.00 ","Dwelling","$154,527.00 ","14 2 7",6,107600,145600,157000,159200,200000,1008,2,2
"300","209 Denny Ln","N/A","$178,800.00 ","Dwelling","$193,000.00 ","15 1 1 23",6,192100,199700,194300,210100,265800,1248,3,2
"301","209 Donald St","N/A","$138,100.00 ","Dwelling","$115,000.00 ","25 7 A",2,201000,183000,116500,125900,250300,1688,4,2
"305","209 S Randolph St","0.1044","$163,600.00 ","Dwelling","$179,500.00 ","23 1 161",5,191600,211000,228600,224300,234000,1489,2,1.5
"308","21 N Main St","0.14692","$619,300.00 ","Dwelling","$1,200,000.00 ","23 1 204",5,370300,346400,396300,389700,405000,3424,3,2
"309","21 Sellers Ave","0.19","$293,500.00 ","Dwelling","$335,000.00 ","28 11 12",3,320900,321000,397900,329800,427300,1847,3,1.5
"310","21 Sixty West Dr","0.12","$343,600.00 ","Dwelling","$315,000.00 ","8 1 1 21",6,364800,383100,321800,347400,452700,2263,3,2.5
"311","210 Alum Springs Rd","0.146","$161,400.00 ","Dwelling","$179,025.00 ","15 1 1 1",6,165200,176000,175500,190900,249100,1200,3,2
"315","210 S Jefferson St","0.06","$206,300.00 ","Dwelling","$250,000.00 ","23 1 126",6,201100,216700,234400,252600,297800,1692,3,2
"316","210 Taylor St","0.11","$63,900.00 ","Dwelling","$55,000.00 ","23 8 4",5,93800,72400,62600,72100,116100,875,2,1
"320","211 Donald St","0.26","$139,100.00 ","Dwelling","$135,000.00 ","25 7 B",2,127600,128500,142700,159600,212600,1012,3,1
"322","211 Miller St","0.19","$103,200.00 ","Dwelling","$115,000.00 ","30 2 E 12A",5,108600,120900,120200,130000,177400,936,3,1
"323","211 Walker St","0.14","$175,600.00 ","Dwelling","$130,000.00 ","30 2 D 10A",5,203100,196600,209400,200600,318600,2448,3,2
"324","212 Alum Springs Rd","0.138","$157,800.00 ","Dwelling","$210,000.00 ","15 1 1 2",6,164700,181800,178900,221100,262400,1253,3,2
"325","212 Barclay Ln","0.199","$466,100.00 ","Dwelling","$530,000.00 ","23 5 4",6,422300,414800,441300,644600,677900,2870,4,3
"326","212 Fuller St","0.12","$128,500.00 ","Dwelling","$120,000.00 ","24 1 82",2,125700,121700,129100,130500,197200,1392,3,2
"327","212 Maury St","0.12","$101,700.00 ","Dwelling","$97,000.00 ","17 4 A",2,122100,109800,103900,121000,166900,1000,3,1
"328","212 Miller St","0.14","$132,300.00 ","Dwelling","$168,500.00 ","30 2 C 8A",5,95600,177100,132600,150000,232300,1400,3,2
"331","213 Denny Ln","0.138","$162,700.00 ","Dwelling","$170,000.00 ","15 1 1 22",6,176700,192700,178100,191700,245600,1120,3,2
"336","214 Alum Springs Rd","0.138","$184,200.00 ","Dwelling","$218,000.00 ","15 1 1 3",6,186800,197400,179600,223400,281200,1400,3,2
"338","214 Miller St","0.36","$168,200.00 ","Dwelling","$190,000.00 ","30 2 C 5B",5,203200,178600,210600,193200,276500,1895,3,2
"339","214 S Jefferson St","0.06","$224,100.00 ","Dwelling","$234,000.00 ","23 1 133",6,198500,236900,255500,269000,331500,1586,3,2
"340","214 Summit St","0.14","$82,500.00 ","Dwelling","$66,000.00 ","30 4 F 6",5,103400,67200,72500,104400,149400,1000,3,1
"341","215 Alum Springs Rd","0.32","$117,700.00 ","Dwelling","$150,000.00 ","14 2 4",6,105000,130900,123600,149400,197000,1288,2,1
"343","215 Summit St","0.21","$106,800.00 ","Dwelling","$96,500.00 ","29 4 18",5,109100,124300,120300,99000,109700,960,3,1
"344","216 Alum Springs Rd","0.138","$169,300.00 ","Dwelling","$210,000.00 ","15 1 1 4",6,191900,182400,169800,183700,273000,1232,3,3
"345","216 Mcclung Pl","0.25","$190,300.00 ","Dwelling","$214,500.00 ","15 1 1 46",6,225400,226000,235700,221400,299200,1862,4,2
"346","216 N Randolph St","0.1","$78,300.00 ","Dwelling","$72,000.00 ","17 1 87",2,80800,72400,101200,109800,82400,1447,3,1
"349","216 Walker St","0.18","$117,900.00 ","Dwelling","$100,700.00 ","30 4 E 6",5,131100,118700,113600,122600,197600,1812,3,1
"351","217 Catalpa Pl","0.67","$254,700.00 ","Dwelling","$350,000.00 ","15 9 3",6,247300,320500,307200,359400,454100,2972,4,4
"352","217 Donald St","N/A","$212,900.00 ","Dwelling","$242,500.00 ","25 8 30",2,227400,239400,254100,242900,309700,1900,3,2
"355","218 Denny Ln","0.1515","$176,100.00 ","Dwelling","$190,000.00 ","15 1 1 26",6,198200,214600,192500,203000,262300,1275,3,2
"356","218 Lewis St","0.14","$150,200.00 ","Dwelling","$146,500.00 ","24 1 96",2,149300,154700,154900,183200,223900,1232,3,2
"357","218 Walker St","0.2","$165,100.00 ","Dwelling","$85,000.00 ","30 4 E 5",5,192700,181500,200500,197600,274000,1710,4,2
"359","219 Marble Ln","0.1","$57,400.00 ","Dwelling","$10,000.00 ","24 8 1A",2,71500,70500,71800,75500,109100,793,2,1
"361","219 N Lewis St","0.71","$232,200.00 ","Dwelling","$247,500.00 ","25 1 1 6",2,153200,240300,252200,272400,334300,1450,3,2
"362","219 N Randolph St","0.22","$92,100.00 ","Dwelling","$139,000.00 ","17 9 2",2,109600,83400,116100,141400,181000,780,2,2
"364","219 Walker St","0.14","$91,000.00 ","Dwelling","$55,000.00 ","30 2 D 6A",5,122800,115200,114700,99100,157000,934,2,1
"365","22 Hook Ln","0.156","$150,600.00 ","Dwelling","$148,000.00 ","18 10 B",2,139700,151700,169200,160000,225300,1853,3,2
"366","22 Maple Ln","0.31","$169,900.00 ","Dwelling","$180,000.00 ","29 17 12",3,150500,156500,173200,171000,244700,1242,3,1
"369","220 Massie St","0.14","$104,200.00 ","Dwelling","$119,000.00 ","24 1 75",2,105400,103900,119300,120100,170200,1066,3,1
"371","221 Massie St","0.12","$104,300.00 ","Dwelling","$175,000.00 ","24 7 2",2,128000,105000,110000,119900,199000,1600,3,2.5
"374","221 Senseney Ln","0.09","$101,400.00 ","Twnhse/condo","$57,000.00 ","17 6 1 15A",2,136100,133200,122100,117600,185400,1288,3,2
"375","221 Summit St","0.357","$116,400.00 ","Dwelling","$114,100.00 ","30 4 E 28",5,129200,115000,124000,133000,194600,1484,4,1
"376","222 Maury St","0.12","$74,200.00 ","Dwelling","$120,500.00 ","17 4 F",2,55900,65500,70700,124000,150600,672,2,1
"379","224 Maury St","0.12","$83,600.00 ","Dwelling","$162,000.00 ","17 4 G",2,105900,99800,102100,89600,185900,1353,3,1
"383","225 Mcclung Pl","0.2539","$205,900.00 ","Dwelling","$218,000.00 ","15 1 1 28",6,222700,206000,207600,224200,250300,1632,3,2.5
"384","225 Walker St","0.3","$110,700.00 ","Dwelling","$80,000.00 ","30 2 D 3A",5,141200,124300,129400,116500,182800,1060,2,1
"386","228 Catalpa Pl","0.41","$244,000.00 ","Dwelling","$290,000.00 ","15 1 20",6,179000,178600,277300,299700,367300,1800,3,3
"388","229 Summit St","0.14","$77,800.00 ","Dwelling","$144,500.00 ","30 4 E 30",5,100900,101700,92400,145600,191100,1066,2,2
"389","229 Walker St","0.31","$124,000.00 ","Dwelling","$147,500.00 ","30 2 D 1A",5,129200,127800,137400,157600,207000,1068,3,1
"390","23 Fuller St","0.225","$109,000.00 ","Dwelling","$108,500.00 ","24 1 70",2,66900,127400,119300,128900,201800,1800,4,2
"392","23 Sixty West Dr","0.12","$323,800.00 ","Dwelling","$330,000.00 ","8 1 1 23",6,335900,359600,371800,370800,425400,1963,2,2
"393","23 Westside Ct","0.16","$260,600.00 ","Dwelling","$310,000.00 ","28 21 13",4,249700,261000,308600,315400,355900,1834,3,2.5
"395","233 Denny Ln","N/A","$159,200.00 ","Dwelling","$183,000.00 ","15 1 1 17",6,222600,235500,177700,187200,207600,1153,3,2
"396","237 Denny Ln","N/A","$186,900.00 ","Dwelling","$220,000.00 ","15 1 1 16",6,223000,206200,229900,232000,300600,2318,3,3
"397","24 Edmondson Ave","0.3","$400,600.00 ","Dwelling","$389,000.00 ","28 1 4",3,355700,404900,403100,399000,502100,2559,4,2
"399","24 Sixty West Dr","0.12","$457,400.00 ","Dwelling","$480,000.00 ","8 1 1 24",6,440900,436300,420200,489000,616800,2466,5,3
"401","25 Lexington Ave","N/A","$169,100.00 ","Twnhse/condo","$165,000.00 ","39 1 B 4",3,168000,165500,171100,178600,192200,1184,2,1.5
"404","26 Edmondson Ave","0.3","$314,800.00 ","Dwelling","$460,000.00 ","28 1 3",3,393700,413600,409100,472400,550700,2598,5,3
"405","26 Sixty West Dr","0.13","$365,200.00 ","Dwelling","$355,000.00 ","8 1 1 26",6,373400,389900,409200,379900,486400,2033,2,3.5
"406","27 Chamberlain Loop","0.084","$228,000.00 ","Twnhse/condo","$235,000.00 ","39 1 1 19",3,214100,218500,240400,259600,330400,1472,2,2
"407","27 Fuller St","0.16","$119,800.00 ","Dwelling","$142,000.00 ","24 1 73",2,124000,117100,119700,135800,161800,1580,4,2
"408","27 Lexington Ave","N/A","$169,100.00 ","Twnhse/condo","$135,000.00 ","39 1 B 5",3,167900,169600,171700,179300,216200,1184,2,1.5
"409","27 Westside Ct","N/A","$211,600.00 ","Dwelling","$209,300.00 ","28 21 33",4,222700,282000,238700,224400,334500,1800,3,3
"411","29 Lexington Ave","N/A","$169,100.00 ","Twnhse/condo","$158,000.00 ","39 1 B 6",3,161700,160700,164200,177300,226100,1152,2,1.5
"412","3 Chamberlain Loop","0.1","$291,900.00 ","Dwelling","$305,000.00 ","39 1 1 31",3,188600,170500,308100,330000,386600,1919,3,2
"413","3 Courtland Ctr","N/A","$368,000.00 ","Dwelling","$320,000.00 ","33 3 10",3,495800,374900,336200,416500,501600,4232,5,3
"415","3 Little Sorrel Ln","0.14","$318,900.00 ","Dwelling","$447,000.00 ","23 1 19",6,317200,329800,288300,389900,492100,2414,3,3
"416","3 Maple Ln","0.23","$167,500.00 ","Dwelling","$212,500.00 ","28 13 2",3,182400,193300,213200,227900,290800,1830,3,2
"417","3 Poyntz Pl","N/A","$228,300.00 ","Dwelling","$225,000.00 ","25 8 20",2,224800,232600,244700,227500,308000,1585,3,2
"419","3 Sellers Ave","0.22","$381,600.00 ","Dwelling","$475,000.00 ","28 11 2",3,436800,480600,518400,462200,611800,3993,5,4
"420","3 Sheridan Row","N/A","$380,900.00 ","Twnhse/condo","$462,500.00 ","23 1 94F",6,333200,777200,327500,486300,566800,2506,3,2
"422","3 Thornridge Ct","N/A","$207,400.00 ","Dwelling","$224,000.00 ","40 2 2 9",3,224600,219600,245300,242500,312900,1553,3,2.5
"423","3 Welsh Park","0.26","$190,000.00 ","Dwelling","$134,000.00 ","34 13 3",3,191700,197200,210400,218700,268200,1218,3,2.5
"434","300 Walker St","0.2","$102,700.00 ","Dwelling","$85,000.00 ","30 4 B 12",5,112700,85100,89900,125800,135500,1092,2,1
"435","301 Houston St","0.3","$172,800.00 ","Dwelling","$145,000.00 ","29 8 3",3,176800,165500,178500,200300,261600,1814,3,2
"436","301 Jackson Ave","0.19","$330,200.00 ","Dwelling","$244,866.00 ","23 1 9",6,367900,249900,269500,418400,502400,3185,4,4
"437","301 Mccorkle Dr","N/A","$134,500.00 ","Dwelling","$178,000.00 ","25 1 11",2,119900,147000,142600,180700,228900,1271,3,1.5
"438","301 Miller St","0.2","$144,600.00 ","Dwelling","$100,000.00 ","30 2 E 2B",5,118600,124300,124300,119500,261600,1169,2,2
"439","301 Myers St","0.1","$177,800.00 ","Dwelling","$249,000.00 ","22 10 1",6,172300,246500,199500,249800,325000,1912,4,2
"440","301 S Jefferson St","0.3","$495,000.00 ","Dwelling","$585,000.00 ","23 1 29",6,500700,517500,519200,623700,674200,3785,4,3
"441","301 Walker St","0.15","$100,200.00 ","Dwelling","$101,300.00 ","30 2 A 11A",5,124100,104500,116900,122600,171000,1147,3,1
"443","302 Jackson Ave","0.21","$406,800.00 ","Dwelling","$246,666.00 ","23 1 14",6,350800,444400,456400,265500,537100,2760,4,3
"445","302 S Jefferson St","0.23","$418,700.00 ","Dwelling","$275,000.00 ","23 1 134",6,464800,377600,478600,348500,582700,3072,5,5
"446","303 High St","0.188","$127,000.00 ","Dwelling","$6,000.00 ","18 1 34",2,119900,125300,119900,145400,176300,1092,4,1.5
"447","303 Mccorkle Dr","0.35","$199,300.00 ","Dwelling","$193,000.00 ","25 1 12",2,212900,194400,209700,250700,300500,1634,4,3
"449","303 Walker St","0.14","$51,800.00 ","Dwelling","$115,000.00 ","30 2 A 10A",5,56000,72500,40100,120600,142300,576,2,1
"572","304 Jackson Ave","0.18","$225,200.00 ","Dwelling","$210,000.00 ","23 1 15",6,203700,200400,229300,257700,332900,1194,3,2
"574","304 S Jefferson St","0.23","$444,800.00 ","Dwelling","$300,000.00 ","23 1 136",6,500200,504100,474900,390200,334600,3876,5,4
"575","305 Diamond St","0.43","$114,300.00 ","Dwelling","$80,000.00 ","17 2 4",2,120100,124600,124100,86700,157300,888,3,1
"576","305 Jackson Ave","0.2","$404,200.00 ","Dwelling","$432,000.00 ","22 1 43",6,405300,415600,441800,461500,564200,2805,4,3
"578","305 S Jefferson St","0.74","$424,000.00 ","Dwelling","$390,000.00 ","23 1 27",6,443700,465000,471000,392300,539400,2773,4,2
"579","306 Enfield Rd","N/A","$257,100.00 ","Dwelling","$144,000.00 ","15 3 B",4,237600,247100,306500,148700,354200,1716,3,2
"580","306 Jackson Ave","0.27","$637,200.00 ","Dwelling","$635,000.00 ","23 1 16",6,511100,766800,683200,726600,806300,4458,5,5
"583","307 Overhill Dr","1.667","$436,000.00 ","Dwelling","$384,150.00 ","22 5 1",4,429300,454200,507000,508200,782900,3200,4,3
"586","308 Massie St","0.1","$86,300.00 ","Dwelling","$139,000.00 ","24 5 10",2,127000,111200,83600,145400,213000,1478,3,2
"587","308 Myers St","0.16","$179,600.00 ","Dwelling","$230,000.00 ","22 11 1",6,137100,132900,91800,236600,294100,1338,2,2
"588","308 Overhill Dr","1.872","$452,200.00 ","Dwelling","$325,000.00 ","22 4 4",4,429500,438800,484000,349200,564800,2594,3,2.5
"590","309 Miller St","0.24","$56,200.00 ","Dwelling","$38,000.00 ","29 12 E",5,129000,153300,390000,342100,185400,1948,4,2
"592","309 Peyton St","0.05","$66,200.00 ","Dwelling","$35,000.00 ","24 1 106",2,60400,62400,70600,340000,114500,828,3,1
"593","309 S Jefferson St","0.38","$476,100.00 ","Dwelling","$400,000.00 ","23 1 25",6,435100,429500,467000,534000,560900,2240,3,1
"594","309 Walker St","0.15","$73,000.00 ","Dwelling","$60,000.00 ","30 2 A 7A",5,108500,104700,70600,76200,143400,1036,2,1
"597","310 Enfield Rd","0.5","$397,000.00 ","Dwelling","$385,000.00 ","15 3 1",4,429200,456900,421500,428300,544900,3247,4,3
"598","310 Peyton St","0.13","$49,400.00 ","Dwelling","$25,000.00 ","24 1 91",2,78500,59800,78500,65700,87800,900,1,1
"599","310 S Main St","0.1392","$217,600.00 ","Dwelling","$280,000.00 ","23 4 3",5,203800,214500,254900,283100,359300,1395,3,2
"600","311 Jackson Ave","0.23","$454,700.00 ","Dwelling","$437,759.00 ","22 1 46",6,495900,471200,470500,513200,611000,3309,4,4
"601","311 Massie St","0.11","$150,500.00 ","Dwelling","$92,500.00 ","24 5 11",2,106200,121700,98700,154600,219800,1714,3,2
"602","311 Myers St","N/A","$96,700.00 ","Dwelling","$70,000.00 ","22 1 34",6,144000,98900,96700,89200,125800,570,1,1
"604","311 Summit St","0.17","$132,400.00 ","Dwelling","$165,900.00 ","30 3 F",5,140400,126700,115800,145400,221500,1177,3,1
"607","312 High St","0.2","$86,600.00 ","Dwelling","$65,000.00 ","18 1 41",2,105700,70500,76100,114000,155600,980,2,1
"608","312 Jackson Ave","0.215","$448,300.00 ","Dwelling","$528,000.00 ","22 1 31",6,418800,531700,573400,576600,651100,2720,4,3
"609","312 Peyton St","0.18","$88,400.00 ","Dwelling","$72,000.00 ","24 8 5",2,105800,72800,78500,114800,147000,900,3,1
"611","313 Massie St","0.09","$95,600.00 ","Dwelling","$86,000.00 ","24 5 13",2,128900,93800,92000,109000,152500,1092,2,1
"612","313 S Jefferson St","0.31","$884,100.00 ","Dwelling","$670,000.00 ","23 1 23",6,596700,1000,777900,776500,778900,5866,5,5.5
"613","313 Summit St","0.18","$162,600.00 ","Dwelling","$156,000.00 ","30 3 E",5,168000,176100,180300,168000,242800,1485,3,1
"614","314 S Jefferson St","0.15","$337,900.00 ","Dwelling","$415,000.00 ","23 1 147",6,238400,326400,352100,425200,526600,2597,4,4
"615","315 Campbell Ln","0.17","$147,500.00 ","Dwelling","$125,000.00 ","18 9 2",2,149600,155500,170300,166600,240000,1230,3,2
"619","318 Myers St","0.14","$156,300.00 ","Dwelling","$156,300.00 ","22 1 49",6,136500,132800,157500,159600,249700,1018,2,2
"626","330 Enfield Rd","0.42","$345,900.00 ","Dwelling","$329,000.00 ","14 1 21C",4,335400,344800,340600,367700,446900,3206,5,4
"627","342 Enfield Rd","0.52","$209,500.00 ","Dwelling","$15,000.00 ","14 1 22",4,198600,177800,178000,168000,342000,2384,3,3
"628","35 Chamberlain Loop","0.082","$345,400.00 ","Dwelling","$377,500.00 ","39 1 1 15",3,199100,195500,184900,386500,458800,2395,4,2
"629","356 Enfield Rd","N/A","$198,800.00 ","Dwelling","$195,000.00 ","21 4 1",4,237900,181400,195700,195900,296500,1973,5,2.5
"632","4 Barger Dr","N/A","$232,000.00 ","Dwelling","$223,000.00 ","28 4 3",3,255900,257300,284600,246900,327200,1783,4,2.5
"633","4 Chamberlain Loop","0.104","$304,400.00 ","Dwelling","$285,000.00 ","39 1 1 34",3,191200,263100,327400,348200,408700,2081,4,3
"634","4 Hillcrest Ln","0.32","$189,200.00 ","Dwelling","$195,000.00 ","24 3 21",2,219900,229700,219900,213300,293400,1884,3,2
"635","4 Mccormick St","0.45","$179,300.00 ","Dwelling","$238,000.00 ","40 3 1 4",3,239300,161600,174300,244000,310500,2267,3,3
"636","4 Morrison Dr","0.34","$198,100.00 ","Dwelling","$204,000.00 ","40 4 3 2",3,233100,236900,222700,242600,237600,2172,4,2.5
"637","4 Rhodes Ct","0.29","$148,700.00 ","Dwelling","$159,900.00 ","14 4 8",4,146600,161400,172800,169800,240100,1780,3,2
"640","4 Whitmore St","0.18","$313,900.00 ","Dwelling","$281,000.00 ","28 5 B",3,231300,255000,382900,384500,389800,2419,4,3.5
"643","401 Enfield Rd","0.86","$372,300.00 ","Dwelling","$435,000.00 ","14 1 17A",4,376100,398100,399800,428900,432200,2560,4,3
"648","402 Confederate Cir","N/A","$199,700.00 ","Dwelling","$274,000.00 ","21 4 19",4,183800,207900,189500,263200,330800,2080,4,3
"649","402 Morningside Dr","0.31","$171,100.00 ","Dwelling","$170,000.00 ","24 3 1",2,150100,127700,171600,173800,243100,1420,2,1
"651","403 Enfield Rd","0.567","$276,500.00 ","Dwelling","$310,000.00 ","14 6 B",4,291300,243300,326800,307300,395600,1845,3,2.5
"653","403 Jackson Ave","0.39","$331,100.00 ","Dwelling","$350,000.00 ","22 7 D",4,373400,406600,393200,370600,490900,2048,4,4
"655","403 Wills Rd","0.368","$208,000.00 ","Dwelling","$186,000.00 ","25 1 1 5",2,228600,241100,200100,258900,297000,1350,3,2
"656","404 Battery Ln","0.25","$164,700.00 ","Dwelling","$150,000.00 ","21 4 35",4,169700,190700,196400,161800,232900,1368,3,1
"658","404 E Washington St","0.41","$165,400.00 ","Dwelling","$150,199.00 ","24 4 3",2,150300,129000,171000,166900,272600,1324,2,1
"660","405 Confederate Cir","N/A","$187,400.00 ","Dwelling","$215,000.00 ","21 4 14",4,168300,213600,220000,237500,286000,1428,4,3
"662","405 Jackson Ave","0.38","$554,500.00 ","Dwelling","$360,000.00 ","22 7 E",4,475300,512200,582400,365900,724000,3566,4,4.5
